name,fifaRank,elo,winPct,drawPct,lossPct,goalsFor,goalsAgainst,matchesPlayed,goalkeeperCaps
Argentina,1,2115,0.55,0.24,0.21,2117,1136,1111,67
Spain,2,2157,0.59,0.23,0.18,1595,699,782,66
France,3,2063,0.51,0.21,0.29,1710,1275,940,48
England,4,2024,0.59,0.23,0.18,2723,1118,1162,91
Portugal,5,1989,0.5,0.23,0.27,1226,781,696,48
Brazil,6,1991,0.63,0.21,0.16,2302,957,1067,83
Morocco,7,1827,0.5,0.27,0.23,1108,615,730,96
Netherlands,8,1948,0.52,0.22,0.27,1893,1144,902,33
Belgium,9,1894,0.45,0.21,0.34,1606,1359,878,115
Germany,10,1932,0.58,0.21,0.21,2358,1233,1047,128
Croatia,11,1912,0.53,0.27,0.21,696,404,400,79
Colombia,13,1982,0.41,0.27,0.32,847,742,650,130
Mexico,14,1875,0.52,0.23,0.25,1829,1054,1029,154
Senegal,15,1860,0.45,0.27,0.27,969,672,706,60
USA,17,1726,0.44,0.21,0.35,1254,1076,828,55
Japan,18,1906,0.49,0.2,0.31,1518,985,836,29
Switzerland,19,1891,0.36,0.23,0.42,1338,1484,896,27
Ecuador,23,1938,0.31,0.27,0.42,724,904,600,39
Austria,24,1830,0.43,0.21,0.36,1561,1321,866,30
Australia,27,1777,0.51,0.21,0.28,1291,721,638,105
Algeria,28,1772,0.45,0.27,0.28,1057,703,690,10
Egypt,29,1696,0.51,0.25,0.24,1546,923,885,77
Canada,30,1788,0.39,0.23,0.38,629,624,490,37
Norway,31,1914,0.38,0.22,0.4,1377,1441,887,76
Ivory Coast,33,1695,0.5,0.26,0.24,1132,696,693,40
Sweden,38,1712,0.49,0.21,0.3,2229,1487,1120,23
Paraguay,41,1834,0.35,0.26,0.39,1006,1115,789,30
DR Congo,46,1652,0.41,0.27,0.32,836,643,549,32
South Africa,60,1517,0.44,0.29,0.27,720,543,526,68
Bosnia and Herzegovina,64,1595,0.37,0.23,0.39,394,386,281,30
Cape Verde,67,1578,0.38,0.24,0.38,273,278,253,94
Ghana,73,1510,0.47,0.25,0.27,1248,823,779,32
